epoch,train_loss,train_mean_error_deg,train_median_error_deg,train_constant_mean_error_deg,train_improvement_vs_constant_deg
1,4.739439122691417,5.031804124101458,3.271261215209961,88.70894152837415,83.6771374042727
2,3.807541794980859,2.258189783896907,1.6239559054374695,88.70894152837415,86.45075174447724
3,3.753179791502943,1.470655182178764,1.0802421569824219,88.70894152837415,87.2382863461954
4,3.7390153932474295,1.1785823307802916,0.9269099235534668,88.70894152837415,87.53035919759387
5,3.7348004222644566,1.0987514610633695,0.8581314086914062,88.70894152837415,87.61019006731078
6,3.7318562390119627,1.1070461583675393,0.8687686920166016,88.70894152837415,87.60189537000662
7,3.7295547075524107,0.8173241328346579,0.6380634307861328,88.70894152837415,87.8916173955395
8,3.728005579095751,0.8804791653488977,0.6995887756347656,88.70894152837415,87.82846236302525
9,3.727353037738994,0.7432051721721815,0.5892205238342285,88.70894152837415,87.96573635620197
10,3.726931701026963,0.6321269229211173,0.4787731170654297,88.70894152837415,88.07681460545304
11,3.7265185362938222,0.6749174132268846,0.517765998840332,88.70894152837415,88.03402411514728
12,3.725928379027761,0.646963345578847,0.49852752685546875,88.70894152837415,88.0619781827953
13,3.7258524721848745,0.6525736471491083,0.5226402282714844,88.70894152837415,88.05636788122504
14,3.7253716202714537,0.8937813366010743,0.7568912506103516,88.70894152837415,87.81516019177307
15,3.725262677062553,0.6246518388496999,0.48566675186157227,88.70894152837415,88.08428968952445
16,3.725191445845936,0.5554585935490096,0.42897510528564453,88.70894152837415,88.15348293482515
17,3.725114821999233,0.6618721315384958,0.5204219818115234,88.70894152837415,88.04706939683565
18,3.724762776330144,0.5628242647772761,0.4420490264892578,88.70894152837415,88.14611726359688
19,3.724809688171884,0.5937772000566397,0.45837879180908203,88.70894152837415,88.11516432831752
20,3.724344973845783,0.5325911414660627,0.3941650390625,88.70894152837415,88.1763503869081
21,3.7243651917412905,0.6341421024723058,0.5093660354614258,88.70894152837415,88.07479942590184
22,3.7244305936964857,0.5380409001500788,0.41498565673828125,88.70894152837415,88.17090062822408
23,3.72433818537446,0.5864023073537507,0.46083831787109375,88.70894152837415,88.1225392210204
24,3.7243338880131054,0.5059962851782529,0.3800969123840332,88.70894152837415,88.2029452431959
25,3.724151755253312,0.5202820093252425,0.40168190002441406,88.70894152837415,88.18865951904891
26,3.7240728666728966,0.4506934302429386,0.3357977867126465,88.70894152837415,88.25824809813122
27,3.7240699811768385,0.45245456008700313,0.326322078704834,88.70894152837415,88.25648696828715
28,3.7238640908553986,0.47312725585991566,0.36282992362976074,88.70894152837415,88.23581427251423
29,3.7237906640513123,0.4551830631487789,0.3483848571777344,88.70894152837415,88.25375846522537
30,3.7237682146355966,0.47021213020601116,0.35249805450439453,88.70894152837415,88.23872939816815
31,3.723789624915346,0.5398448991246878,0.39681434631347656,88.70894152837415,88.16909662924947
32,3.7236720475548397,0.42161663260468324,0.3160743713378906,88.70894152837415,88.28732489576947
33,3.7236424045018897,0.4949165360204488,0.37218475341796875,88.70894152837415,88.2140249923537
34,3.723575504054363,0.5177900224604479,0.40192222595214844,88.70894152837415,88.19115150591371
35,3.7234231917775578,0.3998250331157769,0.28668212890625,88.70894152837415,88.30911649525838
36,3.7235051154119176,0.43291902724025644,0.3200416564941406,88.70894152837415,88.2760225011339
37,3.723417274432367,0.4334214412880864,0.3223838806152344,88.70894152837415,88.27552008708606
38,3.72337789263599,0.39988833192969214,0.2916254997253418,88.70894152837415,88.30905319644447
39,3.7233203903477934,0.4214986353110173,0.3004913330078125,88.70894152837415,88.28744289306314
40,3.7233044076597133,0.41558950997864386,0.3250908851623535,88.70894152837415,88.29335201839551
41,3.723307034342935,0.3989970972093665,0.2913932800292969,88.70894152837415,88.3099444311648
42,3.7232373338609994,0.45698890280113186,0.3482537269592285,88.70894152837415,88.25195262557303
43,3.723140660808431,0.36973435678727956,0.259429931640625,88.70894152837415,88.33920717158688
44,3.7231324598891185,0.4146200719946718,0.2992706298828125,88.70894152837415,88.29432145637948
45,3.7231251568998194,0.4116709131026705,0.3016061782836914,88.70894152837415,88.29727061527149
46,3.7230885411474226,0.4318375537032546,0.3323478698730469,88.70894152837415,88.2771039746709
47,3.723124431544069,0.3869711625252712,0.28446197509765625,88.70894152837415,88.32197036584888
48,3.7229544227817635,0.3698804130376546,0.2727012634277344,88.70894152837415,88.3390611153365
49,3.7229610806327247,0.39198716697292574,0.27906036376953125,88.70894152837415,88.31695436140123
50,3.7229920498950904,0.3783849559817748,0.27947998046875,88.70894152837415,88.33055657239238
51,3.722911979613139,0.4284380059706592,0.3243064880371094,88.70894152837415,88.28050352240349
52,3.722891660329038,0.3675694646163585,0.2623138427734375,88.70894152837415,88.3413720637578
53,3.7228811788461846,0.36676594739048796,0.26035118103027344,88.70894152837415,88.34217558098366
54,3.7228723425972,0.3650435970697121,0.2624168395996094,88.70894152837415,88.34389793130444
55,3.72284999214219,0.3479583405702737,0.2451000213623047,88.70894152837415,88.36098318780388
56,3.7228045549023663,0.3436513612535498,0.238983154296875,88.70894152837415,88.3652901671206
57,3.7227678610690984,0.3415791216955564,0.23575210571289062,88.70894152837415,88.3673624066786
58,3.722756450870615,0.32371151131547443,0.21535110473632812,88.70894152837415,88.38523001705867
59,3.7227423920408045,0.33598121650953366,0.23584747314453125,88.70894152837415,88.37296031186462
60,3.7226901441873212,0.2984277993874044,0.18754863739013672,88.70894152837415,88.41051372898676
61,3.722671922986716,0.30369228641787077,0.1911325454711914,88.70894152837415,88.40524924195628
62,3.722661358081639,0.3652239686616008,0.270674467086792,88.70894152837415,88.34371755971256
63,3.7226367697939127,0.35778616660970686,0.2622699737548828,88.70894152837415,88.35115536176444
64,3.722553191214132,0.30340562224864215,0.19057846069335938,88.70894152837415,88.40553590612551
65,3.7226158948148584,0.3112897488244007,0.21289443969726562,88.70894152837415,88.39765177954975
66,3.722568058627686,0.2970012863056083,0.1907367706298828,88.70894152837415,88.41194024206855
67,3.7225371455952008,0.3077439554881275,0.20416617393493652,88.70894152837415,88.40119757288603
68,3.7225045720817116,0.3301783684900983,0.22753143310546875,88.70894152837415,88.37876315988406
69,3.7225238003701637,0.30161674711616165,0.1922149658203125,88.70894152837415,88.407324781258
70,3.7224826777782556,0.30973638178109214,0.20819473266601562,88.70894152837415,88.39920514659306
71,3.7224813840054205,0.31318597943965887,0.21556758880615234,88.70894152837415,88.3957555489345
72,3.7225279176793613,0.28792993927956795,0.18140333890914917,88.70894152837415,88.42101158909459
73,3.7224717161563166,0.2820868181869911,0.1688232421875,88.70894152837415,88.42685471018716
74,3.7224312926018555,0.2691679577902718,0.14948272705078125,88.70894152837415,88.43977357058388
