epoch,train_loss,train_mean_error_deg,train_median_error_deg,train_p90_error_deg
1,0.051281646616726566,3.2251741623953034,2.674186073964421,6.355901787377983
2,0.006158787736672977,2.6575514700325598,2.138345063788222,5.532447771501916
3,0.003679113937902232,1.9125510527784177,1.5760083115557961,3.846960489088
4,0.0031539819700275445,1.801287169874853,1.4710196479130104,3.72354658264515
5,0.002531362848940577,1.948804326238839,1.642942126269972,3.8798237681051266
6,0.0025863596052784934,2.341165419979086,2.1081586099236063,4.462261940669479
7,0.0018990166682575482,1.2465611697788972,1.0030592262125282,2.5252690972746508
8,0.001692720695897603,1.3490240255204577,1.0941509155987177,2.77761647144379
9,0.0013927457472897474,1.1008332456059078,0.9167363080691899,2.22779940277795
10,0.0012503382026705352,1.4744420364976916,1.2163785740182362,3.0492891242206617
11,0.0015837608554918326,1.1404284991481688,0.905160087535009,2.37498145756845
12,0.001239626009544536,1.1900988629971185,1.01516427655271,2.383235890909484
13,0.0010177648419992288,1.035875554537087,0.8586558837382512,2.1417124862318704
14,0.000896571774430224,1.0941213751756331,0.8808504705805973,2.3368877743042535
15,0.0008781603908321826,1.0136730348686378,0.8329965934061363,2.0943832983450252
16,0.0009227039980040123,0.916040648169305,0.744297439021139,1.9099611741100604
17,0.0008047789215279057,1.3458837237469201,1.161103172684065,2.6979960121386486
18,0.0008225473877594497,0.9365496998118963,0.7543794100098467,1.9652357545452792
19,0.0006924183694256921,1.0005894716475123,0.8334354680530964,2.0737041818458724
20,0.0006884656833245773,0.9126805931950206,0.7621255611884834,1.89716896175548
21,0.0006464868723846357,0.8562257873858992,0.7110935986341929,1.7720742515825691
22,0.0006549324560531106,1.0898494208149203,0.9368835561720772,2.184837685069297
23,0.0006463584007862234,0.9025360625043697,0.7381492478866818,1.8927302838066027
24,0.0006025335697889662,0.9485188670211637,0.7902500183725181,1.9397896473157321
25,0.0005785024640493686,0.8793657301132222,0.7191825897858735,1.8148033165170205
26,0.0005756537018622634,0.8954296922277118,0.7205760621941124,1.9029282215466738
27,0.000583888484258015,1.124750031084483,0.939699286638799,2.372265031156343
28,0.0005709539425071868,0.9544115072561454,0.8064344313703202,1.9549331069450917
29,0.0005432098740218643,0.842818056450028,0.702301050341049,1.737775588793869
30,0.0005095719563482659,0.9532861492370657,0.8083060293639903,1.923153029776097
31,0.0005118521071720087,0.8872609783708773,0.742621406786057,1.8010179454480753
32,0.0005105557364256116,0.805707898437093,0.6577111840255299,1.6946588970513659
33,0.0005219798285206837,0.8661164313754228,0.6896901851927879,1.8148433537231201
34,0.0004919062928124018,0.897991161218803,0.7490343022285373,1.8395944258539318
35,0.00045808355822825385,1.033491634495207,0.8689376449819974,2.1587831874886123
36,0.00044630594144228186,0.7972349978507036,0.6474016665202242,1.681199376403234
37,0.00045443268272553453,0.775231247258558,0.6395331327022973,1.6153137318822672
38,0.00043144670996507684,1.0631698775731941,0.9216249322526977,2.113565108944286
39,0.0004224302813357649,0.9745530167196848,0.8424009347732238,1.9515860148860982
40,0.00042512170413732834,0.8683503311730573,0.6843263524100109,1.8237683062383871
41,0.000427640844058234,0.9995794332446148,0.8238204956192021,2.064934440585748
42,0.00043532597080068455,0.8061489813605562,0.6742851711989459,1.673739440797502
43,0.0004095360971019886,0.847687857260566,0.7285757113409659,1.6956523309184206
44,0.0004254417361638484,0.8681907992391552,0.7076280707024267,1.8288259871106962
45,0.0004155357902710252,0.9957001141978029,0.8364464277680526,2.031826900911557
46,0.0003972403811577275,0.7651199578970378,0.6272166165065016,1.577536131444569
47,0.0003828624661968236,0.7567064268451104,0.6020926309045791,1.6002582790432627
48,0.0003978568462601838,0.8552611483675548,0.6960634611661618,1.7785592503852683
49,0.00039013553788466287,0.9276977677339984,0.733839138155318,1.9964084578454422
50,0.00039333486879745196,0.7655045776877993,0.5987229212476279,1.631045549566966
51,0.00036328836760764405,0.9327369966825791,0.7463011624912355,1.9921885974462272
52,0.01064111660253598,3.516650928656187,2.7599583631721316,6.6741389511625515
53,0.0033962526415567654,1.9135044124785054,1.518834817491836,3.8497467865687645
54,0.0020502492269527644,1.7485362018302282,1.3420489298856637,3.6161871001276977
55,0.0014553420596078888,1.313752912137207,1.0777907674801241,2.564260613983294
56,0.0012792632439934369,1.1539075026620544,0.9165906738256098,2.3325339840304227
57,0.0009655560533015357,1.0798641104859978,0.8626600874489014,2.2002662469595435
